Id,SalePrice
1461,130619.16722971345
1462,160267.96693340686
1463,187754.44027026443
1464,197070.3207548549
1465,189252.70157748117
1466,179228.9184353486
1467,180088.65561694303
1468,169517.13404924446
1469,181895.6881983625
1470,125241.03166881601
1471,201219.97712662505
1472,102182.07983773162
1473,94383.42215851304
1474,155939.27986491486
1475,121544.33384224365
1476,333834.8739227839
1477,258374.70830121395
1478,295437.39744733565
1479,242996.30355588236
1480,379162.9183720804
1481,295243.9758670069
1482,202457.153057845
1483,176368.43501517765
1484,165712.4191772453
1485,168490.19892138636
1486,195844.58641285327
1487,313721.56720595097
1488,232127.37806624494
1489,215471.99987768414
1490,240636.2126012215
1491,187962.30600573996
1492,86255.62368769787
1493,171306.5506967821
1494,289927.6060483647
1495,288240.51533273933
1496,246479.08797436193
1497,175362.1926824505
1498,161031.0833476904
1499,159247.1661414244
1500,156724.4892293082
1501,178442.35943833587
1502,147618.15697288828
1503,271958.586454997
1504,235538.6351256942
1505,226521.27921647613
1506,185119.77923034958
1507,265151.2879104055
1508,194930.6393549564
1509,155487.3313989504
1510,151448.9019055259
1511,145558.44954643096
1512,176782.73929080824
1513,156112.01905499454
1514,147520.99880132455
1515,197557.0112908305
1516,160725.68267911652
1517,161971.46048347326
1518,146385.32231656378
1519,228080.05651469753
1520,136260.99607192507
1521,143513.47951450277
1522,170666.6870866119
1523,119619.80283416105
1524,123814.63356107252
1525,128791.85900969386
1526,122036.16856054473
1527,105047.11042013079
1528,128499.02676566808
1529,150077.3139764408
1530,172983.16131847055
1531,126466.31623370053
1532,105961.63471124208
1533,145899.98162451258
1534,116677.43910038585
1535,147034.2627263366
1536,108845.78803983743
1537,59037.08214638334
1538,156532.73978818863
1539,195603.730800946
1540,114290.5743668704
1541,146273.34301589552
1542,141570.61100508756
1543,196933.11399412726
1544,82402.98097665745
1545,103844.0301741647
1546,123680.84468372336
1547,143090.6092227364
1548,131609.51024991213
1549,113543.35781372388
1550,142987.763432801
1551,113963.97863641765
1552,141855.8634701533
1553,134655.9194051417
1554,111039.1541978159
1555,162584.9641981528
1556,81525.37910846602
1557,103947.77785332437
1558,86897.50969975216
1559,72089.20479067435
1560,149261.27648225904
1561,123060.45200295148
1562,133005.9456339284
1563,125429.7895008284
1564,151039.37511463164
1565,148094.56577256767
1566,205476.24674313067
1567,73138.95322473429
1568,222070.70000827542
1569,130640.3665890359
1570,128456.52110419243
1571,127980.14903211323
1572,146407.63260969828
1573,247579.27199011404
1574,121124.14135536604
1575,203954.3255673665
1576,240358.40251444132
1577,193733.45512511427
1578,142311.83914374845
1579,140490.92198229744
1580,193757.075608552
1581,150333.81612137347
1582,131365.03172814794
1583,306980.34513761895
1584,229687.90969397468
1585,140421.51890133327
1586,64597.434064919275
1587,98294.35808113683
1588,145138.15307475944
1589,96416.50448166717
1590,129471.04363699269
1591,96227.00345205826
1592,109636.7318920864
1593,133584.85593482622
1594,141846.45972625553
1595,124431.6451063326
1596,226004.3847049636
1597,204154.45239397074
1598,200875.27634446084
1599,163732.79765890873
1600,167740.28567031768
1601,64189.28252210813
1602,110012.76569836262
1603,67044.37034077391
1604,281710.9140140571
1605,254915.44892112358
1606,163698.75970401973
1607,142437.57333359827
1608,210457.6636629976
1609,191014.02151893484
1610,157338.23296961654
1611,137771.12053823922
1612,179158.49748019196
1613,171307.952170888
1614,127911.01821742
1615,85170.771430136
1616,72775.38740887889
1617,84264.5698143794
1618,124266.80971442323
1619,143840.6783190136
1620,175231.43355686724
1621,133046.31885836573
1622,142002.43687362885
1623,247174.25050053728
1624,212706.82378005798
1625,125525.9343869054
1626,159857.1963382864
1627,191490.55858259083
1628,281586.0755011833
1629,173706.53962184628
1630,341204.69762400386
1631,224265.4697704037
1632,246629.1643543632
1633,170062.03754691186
1634,187871.90562078147
1635,178839.26198776023
1636,163145.67550853972
1637,204586.2133698033
1638,199805.93547203162
1639,177264.00623372925
1640,252928.59227616517
1641,175141.46688971028
1642,233931.16566361397
1643,229292.20556231908
1644,228036.25940768773
1645,196286.53212432898
1646,160250.45641437947
1647,159519.59514287944
1648,132259.83441400967
1649,137301.99253373154
1650,110446.0450699939
1651,120607.06408396189
1652,99159.2189406798
1653,102054.87633236294
1654,144066.5308727016
1655,140407.88367300696
1656,146078.77818855128
1657,148631.31354673655
1658,144329.38754007878
1659,125125.41390025301
1660,152316.43225826957
1661,382129.8939567877
1662,384310.44786122727
1663,354955.01384575875
1664,363393.1920332608
1665,290404.31345652585
1666,317403.2124948233
1667,324799.20274894056
1668,326850.80272648606
1669,300289.78332526126
1670,337071.96560789115
1671,262720.8548558616
1672,374814.44254367764
1673,284152.18786236487
1674,237515.4593528801
1675,192323.5946917676
1676,193785.20415343123
